%
% The data in this file was extracted from a direct numerical simulation
% of turbulent channel flow over a bump. Particulars are listed
% below.
%
% References:
%
%   M. Marquillie and J.-P. Laval (2007) "Direct Numerical 
%   Simulation of a separated channel flow with a smooth profile",
%   to appear in Journal of Turbulence
%
%   For the following statistics, (u,v,w) are the tangential, normal
%   and spanwise velocity components in a local coordinate system.
%   The statistics normalized with the maximum velocity at the inlet (Uo)
%   are given at 14 streamwise positions. These statistics are interpolated 
%   from the 2D statistics computed in the fixe coordinate system and given 
%   in NetCDF format (statistics_2d.nc)
%
%  X	: Streamwise coordinates
%  Y1-Y	: Coordinates normal to the wall
%  U	: Mean tangential velocity
%  u'u'	: Tangential component of Reynolds stress
%  v'v'	: Normal component of Reynolds stress
%  w'w'	: Spanwise component of Reynolds stress
%  u'v'	: Shear stress
%
%  Re =  7900
%  Uo =  max[U(x=0,y)] = 1.03367
%  Ny =  129
%
% Date File Created: November 5, 2007
%
       X              Y1-Y           U              u'u'           v'v'           w'w'          u'v'
  5.07309E-01    1.55127E-01    7.60867E-01    8.68661E-03    2.55125E-03    4.12475E-03   -2.15657E-03
  5.07309E-01    1.61756E-01    7.66698E-01    8.42581E-03    2.55203E-03    4.09498E-03   -2.14225E-03
  5.07309E-01    1.68510E-01    7.72452E-01    8.16230E-03    2.54821E-03    4.07227E-03   -2.12144E-03
  5.07309E-01    1.75389E-01    7.78161E-01    7.89515E-03    2.53975E-03    4.05542E-03   -2.09656E-03
  5.07309E-01    1.82393E-01    7.83849E-01    7.63633E-03    2.52870E-03    4.03649E-03   -2.07364E-03
  5.07309E-01    1.89520E-01    7.89516E-01    7.39893E-03    2.51780E-03    4.00915E-03   -2.05631E-03
  5.07309E-01    1.96768E-01    7.95135E-01    7.18450E-03    2.50751E-03    3.97299E-03   -2.04093E-03
  5.07309E-01    2.04138E-01    8.00675E-01    6.98406E-03    2.49643E-03    3.93155E-03   -2.02116E-03
  5.07309E-01    2.11628E-01    8.06144E-01    6.78576E-03    2.48287E-03    3.88783E-03   -1.99351E-03
  5.07309E-01    2.19236E-01    8.11568E-01    6.58673E-03    2.46619E-03    3.84543E-03   -1.96016E-03
  5.07309E-01    2.26962E-01    8.16956E-01    6.40186E-03    2.44776E-03    3.80916E-03   -1.92471E-03
  5.07309E-01    2.34804E-01    8.22277E-01    6.24331E-03    2.42926E-03    3.77867E-03   -1.88837E-03
  5.07309E-01    2.42761E-01    8.27509E-01    6.10458E-03    2.41042E-03    3.75081E-03   -1.85086E-03
  5.07309E-01    2.50833E-01    8.32612E-01    5.98191E-03    2.39003E-03    3.72013E-03   -1.81248E-03
  5.07309E-01    2.59017E-01    8.37518E-01    5.87663E-03    2.36805E-03    3.68415E-03   -1.77504E-03
  5.07309E-01    2.67313E-01    8.42228E-01    5.78113E-03    2.34672E-03    3.64063E-03   -1.73836E-03
  5.07309E-01    2.75719E-01    8.46807E-01    5.67664E-03    2.32872E-03    3.58670E-03   -1.70152E-03
  5.07309E-01    2.84235E-01    8.51330E-01    5.55404E-03    2.31402E-03    3.52532E-03   -1.66587E-03
  5.07309E-01    2.92857E-01    8.55821E-01    5.42995E-03    2.30022E-03    3.46252E-03   -1.63624E-03
  5.07309E-01    3.01587E-01    8.60238E-01    5.32061E-03    2.28587E-03    3.39342E-03   -1.61319E-03
  5.07309E-01    3.10422E-01    8.64542E-01    5.21963E-03    2.27127E-03    3.30654E-03   -1.59160E-03
  5.07309E-01    3.19360E-01    8.68702E-01    5.11647E-03    2.25602E-03    3.20872E-03   -1.56934E-03
  5.07309E-01    3.28401E-01    8.72723E-01    5.00176E-03    2.23961E-03    3.11874E-03   -1.54755E-03
  5.07309E-01    3.37543E-01    8.76627E-01    4.88028E-03    2.22157E-03    3.03739E-03   -1.52749E-03
  5.07309E-01    3.46785E-01    8.80405E-01    4.76150E-03    2.20105E-03    2.96005E-03   -1.50858E-03
  5.07309E-01    3.56125E-01    8.84065E-01    4.65383E-03    2.17734E-03    2.88663E-03   -1.48911E-03
  5.07309E-01    3.65562E-01    8.87615E-01    4.56559E-03    2.15159E-03    2.81358E-03   -1.46842E-03
  5.07309E-01    3.75095E-01    8.91041E-01    4.49911E-03    2.12627E-03    2.73918E-03   -1.44757E-03
  5.07309E-01    3.84722E-01    8.94354E-01    4.44952E-03    2.10319E-03    2.66589E-03   -1.42848E-03
  5.07309E-01    3.94441E-01    8.97599E-01    4.40593E-03    2.08226E-03    2.59431E-03   -1.41001E-03
  5.07309E-01    4.04251E-01    9.00811E-01    4.35895E-03    2.06066E-03    2.52794E-03   -1.38966E-03
  5.07309E-01    4.14152E-01    9.03988E-01    4.31214E-03    2.03584E-03    2.46703E-03   -1.37034E-03
  5.07309E-01    4.24140E-01    9.07083E-01    4.28076E-03    2.00835E-03    2.41118E-03   -1.35706E-03
  5.07309E-01    4.34215E-01    9.10076E-01    4.27379E-03    1.97987E-03    2.35626E-03   -1.34967E-03
  5.07309E-01    4.44376E-01    9.12971E-01    4.28611E-03    1.95084E-03    2.29959E-03   -1.34651E-03
  5.07309E-01    4.54619E-01    9.15769E-01    4.30728E-03    1.92156E-03    2.23802E-03   -1.34570E-03
  5.07309E-01    4.64945E-01    9.18500E-01    4.32717E-03    1.89310E-03    2.16737E-03   -1.34331E-03
  5.07309E-01    4.75352E-01    9.21230E-01    4.34100E-03    1.86552E-03    2.09313E-03   -1.33826E-03
  5.07309E-01    4.85838E-01    9.24033E-01    4.34491E-03    1.83779E-03    2.02925E-03   -1.33241E-03
  5.07309E-01    4.96401E-01    9.26951E-01    4.33616E-03    1.80863E-03    1.97515E-03   -1.32722E-03
  5.07309E-01    5.07040E-01    9.29932E-01    4.31545E-03    1.77866E-03    1.92155E-03   -1.32214E-03
  5.07309E-01    5.17753E-01    9.32912E-01    4.28229E-03    1.75004E-03    1.86689E-03   -1.31453E-03
  5.07309E-01    5.28539E-01    9.35912E-01    4.23517E-03    1.72385E-03    1.81458E-03   -1.30066E-03
  5.07309E-01    5.39395E-01    9.38968E-01    4.17257E-03    1.69966E-03    1.76445E-03   -1.27978E-03
  5.07309E-01    5.50321E-01    9.42047E-01    4.09866E-03    1.67654E-03    1.71807E-03   -1.25530E-03
  5.07309E-01    5.61315E-01    9.45082E-01    4.02008E-03    1.65369E-03    1.67767E-03   -1.23055E-03
  5.07309E-01    5.72375E-01    9.48066E-01    3.93881E-03    1.63109E-03    1.63858E-03   -1.20369E-03
  5.07309E-01    5.83499E-01    9.51062E-01    3.85201E-03    1.60835E-03    1.59835E-03   -1.17202E-03
  5.07309E-01    5.94686E-01    9.54103E-01    3.76538E-03    1.58485E-03    1.56042E-03   -1.13529E-03
  5.07309E-01    6.05934E-01    9.57149E-01    3.68744E-03    1.55959E-03    1.52197E-03   -1.09512E-03
  5.07309E-01    6.17241E-01    9.60120E-01    3.61464E-03    1.53114E-03    1.48064E-03   -1.05343E-03
  5.07309E-01    6.28606E-01    9.62963E-01    3.54475E-03    1.49919E-03    1.43868E-03   -1.01035E-03
  5.07309E-01    6.40027E-01    9.65643E-01    3.48101E-03    1.46439E-03    1.39635E-03   -9.65888E-04
  5.07309E-01    6.51502E-01    9.68158E-01    3.42465E-03    1.42839E-03    1.35072E-03   -9.21350E-04
  5.07309E-01    6.63029E-01    9.70564E-01    3.37131E-03    1.39351E-03    1.30352E-03   -8.78088E-04
