%
% The data in this file was extracted from a direct numerical simulation
% of turbulent channel flow over a bump. Particulars are listed
% below.
%
% References:
%
%   M. Marquillie and J.-P. Laval (2007) "Direct Numerical 
%   Simulation of a separated channel flow with a smooth profile",
%   to appear in Journal of Turbulence
%
%   For the following statistics, (u,v,w) are the tangential, normal
%   and spanwise velocity components in a local coordinate system.
%   The statistics normalized with the maximum velocity at the inlet (Uo)
%   are given at 14 streamwise positions. These statistics are interpolated 
%   from the 2D statistics computed in the fixe coordinate system and given 
%   in NetCDF format (statistics_2d.nc)
%
%  X	: Streamwise coordinates
%  Y-Y0	: Coordinates normal to the wall
%  U	: Mean tangential velocity
%  u'u'	: Tangential component of Reynolds stress
%  v'v'	: Normal component of Reynolds stress
%  w'w'	: Spanwise component of Reynolds stress
%  u'v'	: Shear stress
%
%  Re =  7900
%  Uo =  max[U(x=0,y)] = 1.03367
%  Ny = 100 
%
% Date File Created: November 5, 2007
%
       X              Y-Y0           U              u'u'           v'v'           w'w'           u'v'
  5.07309E-01    2.44802E-02    3.33131E-01    1.88968E-02    2.22736E-04    2.18569E-03   -8.86348E-04
  5.07309E-01    2.63178E-02    3.53235E-01    1.99295E-02    2.62480E-04    2.32251E-03   -9.92319E-04
  5.07309E-01    2.82877E-02    3.73728E-01    2.08673E-02    3.07505E-04    2.46563E-03   -1.10142E-03
  5.07309E-01    3.03994E-02    3.94637E-01    2.17082E-02    3.58104E-04    2.61470E-03   -1.21347E-03
  5.07309E-01    3.26632E-02    4.15497E-01    2.23800E-02    4.15551E-04    2.76604E-03   -1.32527E-03
  5.07309E-01    3.50900E-02    4.36101E-01    2.28639E-02    4.80238E-04    2.91449E-03   -1.43491E-03
  5.07309E-01    3.76916E-02    4.56669E-01    2.31946E-02    5.51738E-04    3.05916E-03   -1.54361E-03
  5.07309E-01    4.04804E-02    4.77036E-01    2.33567E-02    6.30241E-04    3.19638E-03   -1.65034E-03
  5.07309E-01    4.34700E-02    4.97047E-01    2.33441E-02    7.15685E-04    3.32222E-03   -1.75386E-03
  5.07309E-01    4.66749E-02    5.16562E-01    2.31643E-02    8.07799E-04    3.43323E-03   -1.85218E-03
  5.07309E-01    5.01105E-02    5.35286E-01    2.28335E-02    9.05903E-04    3.52521E-03   -1.94121E-03
  5.07309E-01    5.37935E-02    5.53410E-01    2.23988E-02    1.00907E-03    3.59979E-03   -2.02148E-03
  5.07309E-01    5.77417E-02    5.70848E-01    2.18809E-02    1.11624E-03    3.65478E-03   -2.09259E-03
  5.07309E-01    6.19742E-02    5.87536E-01    2.12972E-02    1.22668E-03    3.69051E-03   -2.15402E-03
  5.07309E-01    6.65113E-02    6.03431E-01    2.06528E-02    1.34012E-03    3.71151E-03   -2.20556E-03
  5.07309E-01    7.13752E-02    6.18555E-01    1.99343E-02    1.45658E-03    3.72501E-03   -2.24816E-03
  5.07309E-01    7.65893E-02    6.32871E-01    1.91149E-02    1.57572E-03    3.73688E-03   -2.28148E-03
  5.07309E-01    8.21787E-02    6.46563E-01    1.81845E-02    1.69727E-03    3.75246E-03   -2.30542E-03
  5.07309E-01    8.81706E-02    6.59763E-01    1.71515E-02    1.81999E-03    3.77654E-03   -2.32097E-03
  5.07309E-01    9.45940E-02    6.72571E-01    1.60495E-02    1.94182E-03    3.80664E-03   -2.32875E-03
  5.07309E-01    1.01480E-01    6.85006E-01    1.49462E-02    2.06000E-03    3.83751E-03   -2.32792E-03
  5.07309E-01    1.08861E-01    6.96835E-01    1.39066E-02    2.16649E-03    3.86591E-03   -2.32461E-03
  5.07309E-01    1.16774E-01    7.08230E-01    1.29489E-02    2.26016E-03    3.88776E-03   -2.32191E-03
  5.07309E-01    1.25257E-01    7.18934E-01    1.21521E-02    2.33957E-03    3.89665E-03   -2.31199E-03
  5.07309E-01    1.34351E-01    7.28853E-01    1.15125E-02    2.40378E-03    3.89279E-03   -2.29607E-03
  5.07309E-01    1.44099E-01    7.38215E-01    1.09523E-02    2.45482E-03    3.87779E-03   -2.28107E-03
  5.07309E-01    1.54549E-01    7.47424E-01    1.04003E-02    2.49132E-03    3.87140E-03   -2.26411E-03
