%
% The data in this file was extracted from a direct numerical simulation
% of turbulent channel flow over a bump. Particulars are listed
% below.
%
% References:
%
%   M. Marquillie and J.-P. Laval (2007) "Direct Numerical 
%   Simulation of a separated channel flow with a smooth profile",
%   to appear in Journal of Turbulence
%
%  X	: Streamwise coordinates
%  Y0	: Normal coordinates of the lower wall
%  Y1	: Normal coordinates of the upper wall 
%  Utau0: Friction velocity at the lower wall
%  Utau1: Friction velocity at the upper wall
%  Cp0	: Pressure coefficient at the lower wall
%  Cp1	: Pressure coefficient at the upper wall
%  Cf0	: Skin friction coefficient at the lower wall
%  Cf1	: Skin friction coefficient at the upper wall
%
%  Y1 =  2
%  Re =  7900
%  Uo =  max(U(x=0,y)) = 1.03367
%  Po =  P(x=12,y=1)
%  Cf = (1/Re*(dU/dy))/(0.5*Uo^2)
%  Cp = (P-Po)/(0.5*Uo^2)
%  Nx = 1536
%
% Date File Created: November 5, 2007
%
%         X           Y0           Utau0          Utau1           Cp0           Cp1             Cf0             Cf1
  3.35479E-01    0.00000E+00    4.40236E-02    4.91156E-02    2.38190E-01    8.46048E-02    3.62773E-03    4.51547E-03
  3.43661E-01    0.00000E+00    4.39641E-02    4.92147E-02    2.38587E-01    8.44406E-02    3.61792E-03    4.53370E-03
  3.51844E-01    0.00000E+00    4.38076E-02    4.93150E-02    2.38833E-01    8.42747E-02    3.59221E-03    4.55221E-03
  3.60026E-01    0.00000E+00    4.37522E-02    4.94164E-02    2.39260E-01    8.40960E-02    3.58313E-03    4.57095E-03
  3.68208E-01    0.00000E+00    4.35806E-02    4.95186E-02    2.39507E-01    8.39144E-02    3.55509E-03    4.58987E-03
  3.76391E-01    0.00000E+00    4.35292E-02    4.96210E-02    2.39963E-01    8.37191E-02    3.54671E-03    4.60887E-03
  3.84573E-01    0.00000E+00    4.33378E-02    4.97236E-02    2.40209E-01    8.35202E-02    3.51559E-03    4.62794E-03
  3.92756E-01    0.00000E+00    4.32915E-02    4.98256E-02    2.40698E-01    8.33071E-02    3.50807E-03    4.64696E-03
  4.00938E-01    0.00000E+00    4.30739E-02    4.99274E-02    2.40938E-01    8.30909E-02    3.47289E-03    4.66596E-03
  4.09121E-01    0.00000E+00    4.30353E-02    5.00290E-02    2.41465E-01    8.28618E-02    3.46667E-03    4.68497E-03
  4.17303E-01    0.00000E+00    4.27785E-02    5.01310E-02    2.41697E-01    8.26304E-02    3.42543E-03    4.70410E-03
  4.25485E-01    0.00000E+00    4.27547E-02    5.02332E-02    2.42271E-01    8.23862E-02    3.42162E-03    4.72330E-03
  4.33668E-01    0.00000E+00    4.24143E-02    5.03355E-02    2.42495E-01    8.21394E-02    3.36735E-03    4.74255E-03
  4.41850E-01    5.60268E-05    4.25362E-02    5.04377E-02    2.43152E-01    8.18794E-02    3.38674E-03    4.76183E-03
  4.50033E-01    7.05694E-05    4.25069E-02    5.05389E-02    2.43267E-01    8.16165E-02    3.38207E-03    4.78095E-03
  4.58215E-01    8.74958E-05    4.22361E-02    5.06407E-02    2.43921E-01    8.13409E-02    3.33911E-03    4.80025E-03
  4.66397E-01    1.06687E-04    4.22454E-02    5.07307E-02    2.44110E-01    8.10630E-02    3.34058E-03    4.81731E-03
  4.74580E-01    1.28499E-04    4.20160E-02    5.08415E-02    2.44739E-01    8.07744E-02    3.30440E-03    4.83839E-03
  4.82762E-01    1.53053E-04    4.19993E-02    5.09408E-02    2.44976E-01    8.04849E-02    3.30178E-03    4.85730E-03
  4.90945E-01    1.80467E-04    4.17925E-02    5.10415E-02    2.45591E-01    8.01875E-02    3.26933E-03    4.87653E-03
  4.99127E-01    2.10740E-04    4.17605E-02    5.11419E-02    2.45872E-01    7.98906E-02    3.26433E-03    4.89572E-03
  5.07309E-01    2.44349E-04    4.15706E-02    5.12446E-02    2.46479E-01    7.95870E-02    3.23472E-03    4.91540E-03
  5.15492E-01    2.81294E-04    4.15291E-02    5.13475E-02    2.46801E-01    7.92834E-02    3.22826E-03    4.93516E-03
  5.23674E-01    3.21575E-04    4.13547E-02    5.14526E-02    2.47405E-01    7.89732E-02    3.20121E-03    4.95539E-03
  5.31857E-01    3.65548E-04    4.13081E-02    5.15477E-02    2.47766E-01    7.86624E-02    3.19399E-03    4.97372E-03
  5.40039E-01    4.13332E-04    4.11493E-02    5.16757E-02    2.48372E-01    7.83455E-02    3.16948E-03    4.99847E-03
  5.48222E-01    4.65046E-04    4.11015E-02    5.17844E-02    2.48768E-01    7.80281E-02    3.16212E-03    5.01951E-03
  5.56404E-01    5.20928E-04    4.09585E-02    5.18859E-02    2.49378E-01    7.77047E-02    3.14016E-03    5.03922E-03
  5.64586E-01    5.80976E-04    4.09123E-02    5.19992E-02    2.49807E-01    7.73790E-02    3.13308E-03    5.06124E-03
  5.72769E-01    6.45429E-04    4.07848E-02    5.21253E-02    2.50421E-01    7.70451E-02    3.11357E-03    5.08581E-03
  5.80951E-01    7.14643E-04    4.07418E-02    5.22416E-02    2.50878E-01    7.67061E-02    3.10701E-03    5.10853E-03
  5.89134E-01    7.88497E-04    4.06292E-02    5.23594E-02    2.51496E-01    7.63572E-02    3.08987E-03    5.13160E-03
  5.97316E-01    8.67229E-04    4.05905E-02    5.24773E-02    2.51977E-01    7.60014E-02    3.08398E-03    5.15474E-03
  6.05498E-01    9.51076E-04    4.04916E-02    5.25964E-02    2.52597E-01    7.56346E-02    3.06897E-03    5.17817E-03
  6.13681E-01    1.04016E-03    4.04568E-02    5.27153E-02    2.53096E-01    7.52592E-02    3.06370E-03    5.20161E-03
  6.21863E-01    1.13459E-03    4.03698E-02    5.28242E-02    2.53715E-01    7.48715E-02    3.05054E-03    5.22312E-03
  6.30046E-01    1.23448E-03    4.03388E-02    5.29635E-02    2.54229E-01    7.44735E-02    3.04586E-03    5.25070E-03
  6.38228E-01    1.34021E-03    4.02630E-02    5.30813E-02    2.54847E-01    7.40626E-02    3.03443E-03    5.27409E-03
  6.46410E-01    1.45175E-03    4.02369E-02    5.31873E-02    2.55374E-01    7.36418E-02    3.03048E-03    5.29516E-03
  6.54593E-01    1.56923E-03    4.01725E-02    5.33142E-02    2.55992E-01    7.32096E-02    3.02079E-03    5.32045E-03
  6.62775E-01    1.69301E-03    4.01520E-02    5.34301E-02    2.56530E-01    7.27688E-02    3.01771E-03    5.34361E-03
  6.70958E-01    1.82295E-03    4.00991E-02    5.35466E-02    2.57149E-01    7.23175E-02    3.00976E-03    5.36696E-03
  6.79140E-01    1.95931E-03    4.00855E-02    5.36633E-02    2.57698E-01    7.18575E-02    3.00772E-03    5.39036E-03
  6.87322E-01    2.10219E-03    4.00445E-02    5.37909E-02    2.58318E-01    7.13862E-02    3.00157E-03    5.41603E-03
  6.95505E-01    2.25171E-03    4.00380E-02    5.39073E-02    2.58877E-01    7.09052E-02    3.00060E-03    5.43949E-03
  7.03687E-01    2.40810E-03    4.00075E-02    5.40235E-02    2.59496E-01    7.04132E-02    2.99603E-03    5.46296E-03
  7.11870E-01    2.57149E-03    4.00076E-02    5.41286E-02    2.60063E-01    6.99124E-02    2.99604E-03    5.48426E-03
  7.20052E-01    2.74198E-03    3.99876E-02    5.42559E-02    2.60682E-01    6.94020E-02    2.99306E-03    5.51008E-03
  7.28235E-01    2.91970E-03    3.99955E-02    5.43838E-02    2.61255E-01    6.88831E-02    2.99424E-03    5.53608E-03
  7.36417E-01    3.10487E-03    3.99865E-02    5.45015E-02    2.61873E-01    6.83538E-02    2.99289E-03    5.56006E-03
  7.44599E-01    3.29784E-03    4.00016E-02    5.46186E-02    2.62447E-01    6.78147E-02    2.99515E-03    5.58399E-03
  7.52782E-01    3.49838E-03    4.00016E-02    5.47351E-02    2.63059E-01    6.72646E-02    2.99515E-03    5.60784E-03
  7.60964E-01    3.70708E-03    4.00222E-02    5.48507E-02    2.63632E-01    6.67055E-02    2.99824E-03    5.63156E-03
  7.69147E-01    3.92393E-03    4.00294E-02    5.49772E-02    2.64236E-01    6.61371E-02    2.99931E-03    5.65756E-03
  7.77329E-01    4.14916E-03    4.00541E-02    5.50929E-02    2.64804E-01    6.55611E-02    3.00302E-03    5.68140E-03
  7.85511E-01    4.38288E-03    4.00669E-02    5.52092E-02    2.65399E-01    6.49767E-02    3.00493E-03    5.70540E-03
  7.93694E-01    4.62521E-03    4.00951E-02    5.53365E-02    2.65962E-01    6.43846E-02    3.00917E-03    5.73174E-03
  8.01876E-01    4.87638E-03    4.01131E-02    5.54528E-02    2.66549E-01    6.37838E-02    3.01188E-03    5.75586E-03
  8.10059E-01    5.13626E-03    4.01448E-02    5.55687E-02    2.67108E-01    6.31747E-02    3.01664E-03    5.77995E-03
  8.18241E-01    5.40532E-03    4.01672E-02    5.56954E-02    2.67688E-01    6.25569E-02    3.02000E-03    5.80633E-03
  8.26423E-01    5.68344E-03    4.02012E-02    5.58105E-02    2.68242E-01    6.19309E-02    3.02511E-03    5.83036E-03
  8.34606E-01    5.97072E-03    4.02274E-02    5.59363E-02    2.68815E-01    6.12960E-02    3.02905E-03    5.85668E-03
  8.42788E-01    6.26740E-03    4.02644E-02    5.60504E-02    2.69367E-01    6.06528E-02    3.03463E-03    5.88058E-03
  8.50971E-01    6.57346E-03    4.02954E-02    5.61637E-02    2.69936E-01    6.00002E-02    3.03931E-03    5.90439E-03
  8.59153E-01    6.88913E-03    4.03372E-02    5.62872E-02    2.70488E-01    5.93387E-02    3.04561E-03    5.93037E-03
  8.67335E-01    7.21453E-03    4.03756E-02    5.63874E-02    2.71056E-01    5.86675E-02    3.05142E-03    5.95151E-03
  8.75518E-01    7.55000E-03    4.04257E-02    5.65202E-02    2.71609E-01    5.79873E-02    3.05900E-03    5.97958E-03
